"ID" "GSM2500349"	"GSM2500350"	"GSM2500351"	"GSM2500352"	"GSM2500353"	"GSM2500354"	"GSM2500355"	"GSM2500356"	"GSM2500357"	"GSM2500358"	"GSM2500359"	"GSM2500360"	"GSM2500361"	"GSM2500362"	"GSM2500363"	"GSM2500364"	"GSM2500365"	"GSM2500366"	"GSM2500367"	"GSM2500368"	"GSM2500369"	"GSM2500370"	"GSM2500371"	"GSM2500372"	"GSM2500373"	"GSM2500374"	"GSM2500375"	"GSM2500376"	"GSM2500377"	"GSM2500378"	"GSM2500379"	"GSM2500380"	"GSM2500381"	"GSM2500382"	"GSM2500383"	"GSM2500384"	"GSM2500385"	"GSM2500386"	"GSM2500387"	"GSM2500388"	"GSM2500389"	"GSM2500390"	"GSM2500391"	"GSM2500392"	"GSM2500393"	"GSM2500394"	"GSM2500395"	"GSM2500396"	"GSM2500397"	"GSM2500398"	"GSM2500399"	"GSM2500400"	"GSM2500401"	"GSM2500402"	"GSM2500403"	"GSM2500404"	"GSM2500405"	"GSM2500406"	"GSM2500407"	"GSM2500408"	"GSM2500409"	"GSM2500410"	"GSM2500411"	"GSM2500412"	"GSM2500413"	"GSM2500414"	"GSM2500415"	"GSM2500416"	"GSM2500417"	"GSM2500418"	"GSM2500419"	"GSM2500420"	"GSM2500421"	"GSM2500422"	"GSM2500423"	"GSM2500424"	"GSM2500425"	"GSM2500426"	"GSM2500427"	"GSM2500428"	"GSM2500429"	"GSM2500430"	"GSM2500431"	"GSM2500432"	"GSM2500433"	"GSM2500434"	"GSM2500435"	"GSM2500436"	"GSM2500437"	"GSM2500438"	"GSM2500439"	"GSM2500440"	"GSM2500441"	"GSM2500442"	"GSM2500443"	"GSM2500444"	"GSM2500445"	"GSM2500446"	"GSM2500447"	"GSM2500448"	"GSM2500449"	"GSM2500450"	"GSM2500451"	"GSM2500452"	"GSM2500453"	"GSM2500454"	"GSM2500455"	"GSM2500456"	"GSM2500457"	"GSM2500458"	"GSM2500459"	"GSM2500460"	"GSM2500461"	"GSM2500462"	"GSM2500463"	"GSM2500464"	"GSM2500465"	"GSM2500466"	"GSM2500467"	"GSM2500468"	"GSM2500469"	"GSM2500470"	"GSM2500471"	"GSM2500472"
"RP3-388M5.9"	4.1572	4.0772	4.2392	4.2476	4.4055	4.1429	4.3069	3.8469	4.0613	4.2677	3.6508	3.8658	4.0744	3.6861	4.0058	4.2149	3.8482	4.1853	4.1347	4.0671	3.7212	4.1597	3.923	4.3335	3.8678	3.9877	3.9176	3.98	4.0543	4.8999	4.1373	3.7713	4.1599	4.149	4.3248	4.4647	4.5152	3.8122	4.2386	4.2246	3.8355	4.6097	4.3212	4.0245	3.9671	4.1923	4.3866	4.193	4.9521	4.3414	4.2748	4.5445	4.2411	3.645	3.7448	4.1461	4.1407	3.73	4.4814	4.1291	4.1109	3.8323	4.0776	3.7348	4.4152	4.2265	4.8073	4.2785	4.0187	4.5822	4.0461	4.0776	3.865	4.4585	4.1134	4.1134	4.4783	4.2008	3.932	3.9976	4.2532	3.9598	3.8577	4.0811	3.9453	3.4541	4.3465	4.0105	4.4657	3.7348	4.3533	4.1463	3.4733	4.1039	3.7768	3.9621	3.9977	3.815	4.4375	3.2618	4.1061	4.0563	4.3695	3.8338	3.921	4.0243	4.0218	3.9934	4.3494	3.941	4.2777	3.9897	4.1432	4.1047	4.2055	4.4152	3.8129	4.5443	4.2362	4.223	4.1649	4.003	3.8969	4.0609
"RP3-400B16.4"	2.8139	2.8193	2.8218	2.8579	2.8341	2.8081	2.8919	2.8735	2.7985	2.9386	2.7794	2.8218	2.7889	2.7372	2.4397	2.9637	2.634	2.8735	3.1747	2.5379	2.9594	2.8527	2.334	2.9826	3.192	2.9504	2.9422	2.9172	2.8516	3.1218	3.3251	2.6479	2.8516	2.8516	3.2949	2.8454	2.8996	2.8244	2.8785	2.8785	2.8992	3.1003	2.9811	3.0485	3.0496	3.1044	2.7933	2.7933	3.1811	3.1985	2.9697	3.5273	2.8785	2.8785	2.8458	2.83	3.0286	2.7837	2.9268	2.8785	3.1842	2.7484	2.3438	2.7739	3.6045	3.045	3.2589	2.9242	2.9771	2.7876	2.7374	2.9665	3.2953	3.2819	2.8005	3.2819	2.9207	2.9356	3.3698	3.3851	2.9132	2.9169	2.6988	2.7876	2.7856	2.8164	2.8122	2.7942	2.786	3.3785	2.4971	3.3262	2.7101	2.9171	3.1912	2.8919	2.5636	2.9661	3.1141	2.8082	2.9021	2.9021	2.8521	2.8375	2.9021	2.9201	2.7686	2.8419	3.0726	3.4039	2.8082	2.8178	3.0612	3.0574	2.7915	2.9134	2.923	2.7876	2.5607	2.5234	3.3504	2.8631	2.7686	2.8363
"RP3-406A7.7"	3.0819	2.7496	2.9363	2.3181	3.0022	2.8466	3.1329	2.8664	3.0824	3.533	2.894	3.4488	3.1362	2.8681	2.8357	3.2786	3.2205	3.1371	3.5293	3.1638	3.0764	2.7865	3.0852	3.1316	3.0852	3.8095	3.3549	3.0162	3.5587	2.8178	3.5029	3.9186	3.0773	3.5539	3.1549	3.4497	3.2644	3.0191	3.7842	3.1505	2.8974	3.8735	3.508	3.0555	3.5048	3.269	2.979	3.2519	3.5301	2.9846	3.5401	3.0818	3.3915	3.0645	2.788	3.1998	3.2847	3.7408	3.6438	3.4292	3.8525	3.2907	3.1997	3.7656	2.8033	3.7832	3.2211	3.2907	3.7125	3.0227	3.3925	3.4606	3.2778	3.7327	3.0482	3.2238	3.4326	3.154	3.8125	3.5187	3.675	3.1575	3.2383	3.2665	2.9173	3.2329	3.4155	3.397	4.0772	3.2289	4.4514	3.3989	2.8777	3.418	3.4683	3.1015	2.8253	3.1992	3.2662	3.6492	2.8269	3.4177	3.4554	3.4253	2.9469	3.4269	3.424	3.1876	2.6722	3.1977	3.3066	3.0693	3.2518	3.3518	3.1611	3.2363	3.0076	2.9935	3.3234	3.073	3.5514	3.5284	4.3485	3.228
"RP3-412A9.16"	4.0635	3.7276	3.6941	3.5322	3.6826	3.9877	3.7405	3.7996	3.5637	3.9048	4.1115	3.4024	3.5856	3.8588	3.7898	3.9283	3.7876	4.0368	3.532	3.7445	3.7939	3.3923	3.7523	3.8652	3.6271	4.1492	3.9587	3.7865	3.8224	3.7977	3.8988	3.7294	3.8746	3.7712	3.6853	3.8682	3.906	3.7015	3.9575	3.8218	3.6728	3.9591	4.0389	3.4602	3.9237	3.9296	4.2854	3.8512	3.9881	3.5895	3.3047	3.9805	3.7589	3.7206	3.7792	3.968	3.4632	3.7046	3.7282	3.7075	3.4974	3.6791	3.658	3.7705	3.4025	4.2258	4.0769	3.7242	3.8536	3.7228	3.6304	3.938	3.9114	4.1346	3.6744	4.0847	3.4812	3.815	3.9743	3.9092	4.0347	3.8947	3.6633	3.3827	3.8204	3.512	4.006	3.6478	3.5048	4.1024	3.7341	3.4387	3.7903	3.2255	3.6581	3.8033	3.537	3.7673	3.652	4.0778	3.7724	4.3067	3.7505	3.7314	3.8059	3.7317	3.7295	3.7763	3.795	4.1489	3.725	3.5465	3.9882	3.9061	3.3752	4.0359	3.9741	3.2607	3.5657	3.6343	3.8977	3.2365	3.5661	4.0046
"RP3-428L16.2"	3.2957	3.5343	4.026	3.309	2.8957	3.57	3.0265	2.8915	3.2498	3.9086	2.6347	3.4387	2.9609	3.2936	2.8993	3.8108	3.0346	3.2026	2.8572	3.2359	2.8633	3.7172	2.5944	2.7633	3.4821	3.0189	2.7977	2.9415	4.0199	2.9474	4.06	3.145	3.0633	3.3437	3.2089	2.9821	2.8289	2.8094	3.2208	2.8657	2.0663	3.2405	2.6116	3.4958	2.9821	2.9821	3.1927	2.9576	3.2647	3.2155	2.8476	3.6462	3.0776	2.5406	2.6608	3.6182	2.5147	3.1103	3.4895	3.0974	2.911	2.9581	3.0631	2.8717	2.6616	2.7898	3.0942	3.5928	2.9767	3.4739	3.0631	3.5221	2.874	3.634	2.9495	3.0938	2.8867	2.8795	3.5417	3.7307	2.9917	2.9532	2.7341	3.6484	2.4576	2.902	2.8696	3.1778	2.2004	3.3088	3.1143	3.265	3.6717	2.9621	3.5954	2.4431	2.5297	2.8388	2.3747	2.3747	2.6786	3.1542	2.4757	3.1111	2.9901	3.2434	2.3713	3.1148	3.7461	3.4533	2.9664	3.1191	2.8293	2.9617	2.606	3.1143	2.9136	2.9759	2.5726	2.7756	3.5394	2.857	3.3697	3.3717
"RP3-476K8.3"	5.2351	4.9118	5.3262	5.0637	5.0924	5.138	5.0566	5.5047	5.0235	5.4061	5.2822	5.0119	5.2046	5.091	4.7639	4.8571	5.2853	5.1305	5.0227	5.3447	5.1904	4.9788	5.1179	5.4471	5.2157	5.3808	5.379	5.09	4.9568	5.3147	5.2337	5.2585	5.0026	5.208	5.1206	5.4882	5.4341	5.3234	5.2222	5.5299	6.0799	5.2092	5.612	5.221	5.3972	5.2337	4.9191	5.5953	5.3731	5.2138	4.9863	4.8486	5.3214	5.293	5.4419	5.221	5.0938	5.2582	4.9518	5.5403	5.3052	4.749	4.9136	5.0747	5.0563	5.4931	5.2752	5.3076	4.9854	5.1588	5.5359	5.4341	5.3532	5.336	5.6904	5.3002	5.2355	5.4501	5.1351	5.3176	4.8242	5.1292	5.1805	5.2809	4.778	5.1399	5.358	5.0375	5.0117	5.7591	5.5574	5.386	5.2282	5.6071	5.3617	5.1644	5.0833	5.5502	5.3523	5.5805	4.4265	4.9882	5.3222	4.8502	4.9882	4.969	4.9502	5.2292	5.0429	5.0429	5.3587	5.1221	5.6503	5.6501	5.0277	5.0549	4.469	5.2282	5.0048	5.0403	4.7744	5.2062	5.2292	5.3217
"RP3-496C20.1"	3.3349	3.3872	3.1362	2.8749	3.3099	3.3306	3.6651	2.9945	2.857	3.0628	2.9515	2.8973	3.0109	3.1555	2.8619	3.5759	2.7171	3.793	3.0195	2.8163	3.2046	2.5303	2.84	2.7811	3.2236	3.4909	2.8608	2.9878	3.2185	3.1367	2.9752	3.2704	3.6063	2.7904	3.1928	3.3193	3.2467	2.9344	3.5286	3.4934	3.2461	2.8881	2.6882	2.7577	3.1118	2.9833	3.1604	3.3095	3.1512	3.55	3.3374	3.6243	2.7472	2.4234	3.3648	2.9875	3.1256	3.1297	3.5936	3.1074	2.8845	3.2405	2.6337	3.8044	3.3415	3.3186	3.25	3.0479	3.2833	2.7798	2.8936	2.9851	3.4497	3.3448	2.9827	3.5106	3.1364	3.0856	3.6233	3.6531	2.9884	3.3805	3.1734	2.9226	2.4667	2.8227	3.2147	2.9478	3.1137	2.9986	3.2834	2.0179	2.6777	2.7551	3.3616	2.9682	2.9588	2.6794	3.2805	2.3698	3.1846	2.8263	3.0837	2.9367	2.8405	2.9357	2.9327	3.157	3.2494	2.6461	2.4824	2.8536	3.0885	3.0837	3.2507	3.0829	3.2587	2.839	2.903	2.4915	3.2095	2.7073	3.0273	3.3047
"RP3-508I15.21"	5.7316	6.1061	5.5576	6.2468	6.0042	5.9257	5.6038	6.3434	6.8397	6.0246	6.5222	6.4187	6.0811	5.9124	6.0116	6.2347	5.8526	5.5958	6.1394	6.1271	6.274	6.144	7.4193	7.5246	7.7116	7.265	7.5616	7.5305	5.8318	7.1854	6.2345	7.0322	7.4226	7.1771	7.5946	7.5672	6.9667	6.4681	6.8989	7.2548	8.0562	7.8395	7.9233	6.7817	7.5491	7.2175	8.1975	6.8891	7.6109	7.5591	7.2885	6.6352	7.1219	7.2835	7.3111	7.4279	7.3116	7.0973	8.1535	7.8017	7.1878	7.328	6.9922	6.7414	6.8012	7.3441	6.9365	6.569	7.516	6.4367	7.225	7.3578	6.8238	6.6066	7.9337	6.8169	7.4019	7.4803	6.4337	6.9541	7.9237	7.1831	6.7517	6.7093	7.2118	7.3871	7.5652	6.868	6.9224	7.4616	7.8381	7.7273	7.6099	7.247	7.2289	7.3806	6.8998	7.2329	7.1828	7.5152	6.6571	6.8761	7.6877	8.1707	6.9658	7.1509	7.2685	7.1033	7.1992	7.8501	7.8572	7.5752	7.9762	7.5903	7.277	6.8969	7.0818	7.0064	7.7603	7.0615	7.4525	7.3189	7.3992	7.389
"RP3-525N10.2"	5.2668	4.2565	4.5042	4.796	5.3196	4.7354	5.6878	4.8843	4.5163	5.6155	5.3847	4.4666	4.2932	4.4115	3.7613	4.9893	4.466	5.1336	4.8359	4.4951	5.1647	4.2176	4.476	4.1995	4.9989	4.9021	4.1577	4.9809	4.4819	5.2449	5.2453	4.8065	4.7989	4.6206	4.9181	5.2712	4.8556	4.7103	5.0715	5.2059	4.9967	4.6226	4.6647	4.0152	5.6017	5.5826	5.1143	5.7553	5.0887	5.3283	4.515	4.7314	4.569	4.9457	4.1523	4.7073	4.4144	3.8277	4.8092	4.8392	4.608	3.8613	4.5544	4.4014	5.3278	5.134	5.0694	4.6946	4.4313	4.6725	4.2873	4.8871	4.8398	4.7805	4.7025	5.5727	4.7501	4.3598	5.4164	5.3729	4.3268	4.8976	4.2655	5.0417	3.8446	4.2154	4.7128	4.8572	4.508	5.9321	4.7728	4.4706	3.8513	3.9929	4.7568	4.7767	3.8228	3.5848	5.764	5.5672	4.5208	4.7288	4.858	5.0589	4.165	4.2105	5.3835	5.7415	5.7028	5.6158	4.0287	3.9143	5.4738	5.5579	4.1434	4.7728	3.9216	4.1033	3.7394	4.0552	4.2858	3.9008	3.7572	4.8734
"RP4-539M6.14"	3.7519	3.5733	3.5733	3.3811	3.4828	3.4077	3.7787	3.2732	3.2392	3.5356	3.212	3.6731	3.619	3.2312	4.0494	3.9273	3.5641	3.794	3.5823	3.0104	2.9463	3.5919	3.6269	3.6755	3.1545	3.6853	3.7968	3.5944	3.9025	3.491	3.7643	3.5445	4.0768	3.2993	3.7689	3.4943	3.6589	3.3779	3.539	3.9718	3.6913	3.5959	4.131	3.6219	4.3114	4.3142	3.4905	3.1229	3.7489	3.4169	3.6766	3.3443	3.3857	3.9568	3.4881	3.543	4.079	3.6717	3.4987	4.0126	3.9814	3.4821	3.4677	4.0833	3.4537	3.7276	3.3579	3.6621	3.6662	3.5849	3.061	3.5319	3.7889	3.3792	3.3245	3.6577	3.5463	3.4079	3.8488	3.7909	3.5349	3.4313	3.4269	3.8214	3.7472	3.7738	4.037	3.7261	3.8556	3.4862	3.4669	3.5585	3.4741	3.5978	3.9544	3.4778	3.1138	3.5282	3.5623	3.7754	3.9393	3.6678	3.5715	3.5361	3.4168	3.0512	3.8897	3.467	3.2342	3.9161	3.9106	3.4774	3.4514	3.7047	3.5482	3.5989	3.4628	3.5379	2.8039	3.7047	3.4826	3.9241	3.6002	3.6914
"RP4-539M6.21"	4.8692	4.2242	4.8669	4.1481	4.4325	4.3725	4.7159	4.4947	4.3008	4.4326	4.0138	4.4901	4.7689	3.9766	4.3799	4.6636	4.5539	4.2325	4.3503	4.2996	4.2016	4.0834	3.8226	4.1893	4.2871	4.5392	4.1366	4.2183	5.1279	4.1521	4.2051	4.2945	4.2903	4.1671	3.9793	4.4406	4.7154	4.2958	4.3707	4.3502	3.9896	4.621	4.1014	4.5954	4.7993	4.1037	4.2509	4.5448	4.5741	4.4949	4.2175	4.4356	4.0458	3.7211	4.0326	4.1337	4.1537	4.2108	4.8636	4.3211	4.1865	4.1083	3.9189	4.3185	4.2527	4.7226	4.2598	4.288	4.4987	3.8044	3.9288	4.4786	4.4433	4.9607	4.4886	4.7862	4.1405	4.2927	4.3006	4.2397	4.1026	4.3531	3.8916	4.289	4.1844	3.9374	4.2006	4.435	4.2931	4.353	3.6678	4.512	4.0531	4.3296	4.502	3.8713	4.2199	4.1086	4.2213	4.2771	4.2324	4.304	4.4028	4.2773	4.0854	4.1151	4.2619	4.2146	4.2663	4.2663	4.0514	4.2578	4.5412	4.3813	3.9592	4.3615	4.6322	3.9435	3.7951	4.055	4.2464	4.274	4.1624	4.5023
"RP4-545K15.5"	4.4858	5.2474	4.7814	5.0423	5.3587	5.098	4.7661	5.4658	4.9368	4.6023	5.1383	5.0436	4.9444	4.9172	4.6534	5.102	5.0496	5.022	4.8109	5.3967	5.3138	5.4429	5.7287	5.1401	4.8413	5.0227	5.2432	5.0366	5.128	4.9502	4.6323	5.0297	4.9381	4.8504	5.4175	4.9126	4.6757	4.8224	5.3692	5.21	5.3325	4.8631	5.7172	5.3336	5.256	5.0735	4.9697	5.1011	4.7479	4.6288	5.4585	4.5218	5.2037	5.2185	4.8405	4.9781	5.4562	5.1011	4.8778	5.5732	5.3089	5.6382	5.0948	4.8809	5.3079	5.6102	4.9127	4.7984	4.8422	4.4657	4.9827	5.178	4.9097	5.0127	5.1406	5.2367	5.1269	5.4064	4.8997	4.4507	5.0571	4.8296	5.6961	5.0536	4.9445	5.2293	5.4657	5.2278	5.0237	5.0366	5.8231	5.0799	5.4808	5.2002	4.8086	5.4201	5.2051	5.2105	5.2666	5.2334	5.1735	4.9855	5.4306	5.2253	5.4634	5.2549	5.1367	5.2072	5.2718	5.1811	5.1687	5.2104	5.4181	4.7892	5.009	5.0799	5.0453	5.5206	5.517	5.3261	5.0499	4.8684	5.1934	4.872
"RP4-555D20.3"	3.3911	2.8447	3.3475	3.169	3.2026	3.279	3.0952	3.2913	3.0912	2.8849	3.3351	3.3013	3.2163	3.0152	2.9046	2.8878	2.9538	3.5275	3.2676	3.5129	3.1863	3.1567	3.4029	3.5488	3.5325	3.6483	3.372	3.1495	4.0225	3.4612	3.7061	3.2663	3.2205	3.3383	3.5589	2.9786	3.429	3.1429	3.8316	3.4324	2.9522	3.6519	3.5946	2.8361	3.2663	3.4279	3.3373	3.7468	3.5373	3.2265	3.4742	3.7297	3.1283	3.4615	3.0635	3.2365	3.5864	3.6063	3.8622	3.1927	3.4652	3.196	3.5666	4.0169	3.3373	3.3751	3.3337	3.3469	3.3525	2.7637	3.4251	3.2881	3.3294	3.7791	3.1797	3.8086	3.3758	3.0497	3.9337	3.6238	3.2355	3.4085	3.0893	3.2337	3.2387	3.2049	3.3683	3.0578	3.6167	2.9614	3.2313	3.762	3.3367	3.6793	3.5843	3.1944	3.3341	3.1968	3.3338	3.3601	3.8347	3.5711	3.3639	3.1526	2.8135	3.2076	3.2868	3.8774	3.1965	3.1087	3.6074	3.326	3.5906	3.3417	3.2367	3.7024	3.6429	2.9983	3.6502	3.6827	3.3512	3.6174	3.2932	3.5655
"RP4-561L24.3"	2.3204	2.2135	2.0643	2.2189	2.8483	2.308	2.4757	2.8815	2.4801	3.1669	2.0858	2.1908	1.7539	2.1908	2.1638	2.9697	2.4667	2.6908	2.2765	2.1692	2.1585	2.7718	3.0465	2.1254	2.2616	2.7753	1.9312	2.1813	2.1032	3.0076	2.9121	2.5275	2.1699	2.073	2.253	2.4902	2.3494	2.0846	2.0504	2.2331	2.3221	2.5981	2.5703	2.0846	2.4743	2.2616	3.0064	2.2667	2.5273	2.7348	2.1857	2.876	2.7513	1.9918	2.1002	2.0924	2.2047	2.2047	2.888	2.3694	2.3221	2.3221	2.0085	2.3387	2.2047	2.8083	3.0344	2.3221	2.2047	2.2047	2.2421	2.9173	2.7961	2.3712	2.1791	2.8668	2.4472	1.7931	3.0293	2.9277	2.4676	2.3234	2.0171	2.3234	1.4156	1.9367	2.5064	2.2392	1.8942	2.7759	1.8398	2.0896	2.0237	1.7873	2.4407	1.4687	1.7161	2.0068	2.4505	2.2977	2.1238	2.0075	2.1441	2.1286	1.9014	1.6402	2.1286	2.5998	2.583	2.3679	2.2977	1.9621	2.4247	2.2289	2.4256	2.6002	1.4636	1.4802	1.8375	2.119	2.1079	2.3552	2.1286	2.2595
"RP4-584D14.7"	4.3356	4.0459	4.7374	4.4869	4.4433	4.318	4.4735	4.4822	4.378	4.4129	4.2686	4.2834	4.3356	4.3886	3.7138	4.7355	4.6165	4.3644	4.6999	4.1683	3.9506	4.2353	4.3655	4.2791	4.3936	4.4023	4.3404	4.3037	5.1621	4.4899	4.5186	4.3509	4.7023	4.2545	4.4751	4.2851	4.5039	4.3257	4.2446	4.7504	4.376	4.2066	4.321	4.272	4.3025	4.353	4.3998	4.4777	4.478	4.7085	4.3794	4.9106	4.369	4.6191	4.3466	4.2308	4.6656	4.5184	4.6296	4.3183	4.1127	4.1617	4.7497	4.7049	4.4176	4.6678	4.5639	4.241	4.8451	4.0607	4.2035	4.6521	4.4626	4.6923	4.414	4.2871	4.0212	4.4835	4.3653	4.7521	4.4442	4.4694	4.3452	4.8828	4.4685	4.4234	4.4223	4.1265	4.1193	4.4009	4.5229	4.434	4.3417	4.6774	4.5379	4.1428	4.3862	4.3796	4.3517	4.0125	4.4015	4.2618	4.6661	4.447	4.4248	4.3477	4.233	4.233	4.3992	4.3308	4.2706	4.4467	4.5346	4.7952	4.4714	4.5595	4.4392	4.1028	4.1759	4.0032	4.2464	4.7233	4.7384	4.3651
"RP4-593H12.1"	5.0974	4.8258	5.195	4.8647	5.0879	5.0687	5.2171	5.2388	4.9911	5.2142	5.3844	4.9579	4.8359	5.2196	4.9266	4.5469	4.9385	5.1881	5.1164	4.6624	5.2368	4.7051	4.9355	4.9641	5.2287	5.1066	5.3617	5.0709	5.2125	5.1125	4.8357	4.9504	5.1462	4.9256	5.1924	5.6297	5.3933	4.9029	5.3201	5.0135	5.5819	5.0178	5.1399	4.869	5.0239	5.0277	5.1725	4.8896	4.8796	5.0463	5.1835	5.0269	4.9542	4.6492	4.9375	4.8363	4.7856	5.1474	5.4496	4.9436	5.0894	5.0496	4.6003	5.2726	5.0352	5.3243	5.2115	5.1568	5.2462	4.7366	4.8435	5.0432	5.0796	4.8042	5.3065	5.2931	5.1945	5.1666	5.3271	5.3447	5.1217	5.043	4.7739	5.0113	5.0807	5.3203	5.0592	5.0919	5.3445	5.3071	4.9547	5.0836	4.8824	5.0416	4.8766	5.1295	5.1383	4.9506	5.2085	5.1174	5.2128	5.1122	5.3363	4.9581	4.9101	5.1736	5.0616	4.9346	5.1714	5.087	5.0691	4.9731	5.2058	5.2296	5.2088	4.9274	5.3541	4.8316	5.008	5.0108	5.0752	4.6733	5.058	5.0231
"RP4-594L9.2"	4.0744	4.2808	4.3715	3.9927	4.2626	4.4032	4.6021	3.9603	3.9839	4.4129	3.8203	3.8317	3.9496	4.1381	4.0529	4.235	4.2229	4.4746	3.9462	4.1947	3.8146	3.7371	3.8549	3.7401	4.1526	4.273	3.8259	4.3273	4.4762	4.2724	4.6794	4.0582	4.1764	4.0853	4.2495	4.4156	4.3848	4.1578	4.0117	4.0306	3.7146	4.3321	4.2929	3.6528	4.309	4.1991	4.3011	3.7891	3.9986	4.2725	3.5334	4.3741	3.6597	3.95	4.0435	4.2326	3.8522	4.0122	4.5248	4.5466	4.1721	3.9625	3.5786	3.7626	4.494	4.3571	4.1676	4.4476	4.1927	3.6373	4.3852	4.3481	4.1113	4.655	4.0529	5.0153	3.7488	4.1577	4.4217	4.4664	3.8347	3.9362	3.8726	3.7182	4.0477	3.9553	4.4604	3.6302	3.7472	3.642	3.7106	3.9275	3.2796	4.131	3.8046	4.4416	3.6975	3.8629	4.2482	4.075	4.0555	3.8695	4.0382	4.1652	4.0472	4.2315	4.1172	4.1825	4.0978	3.9144	4.0691	3.6129	4.0093	4.2369	3.8481	4.3216	3.4762	3.5368	3.7155	3.5421	4.1171	4.1787	3.759	4.3839
"RP4-612B15.3"	3.9095	4.0972	3.1042	3.9893	3.4053	3.6662	3.919	3.5531	3.4862	3.269	3.5439	3.4876	3.3152	3.2249	3.4931	4.3453	3.4518	3.9826	3.2347	3.575	3.8529	3.6428	4.6513	4.6063	4.4933	4.7932	4.6005	4.6131	4.1171	4.7851	4.797	4.1583	4.4181	4.0486	5.3284	4.0567	3.5116	4.5695	4.9337	3.4612	3.9751	3.9232	3.5449	4.3139	5.1136	4.263	4.3922	4.0293	4.9475	4.1162	5.2658	4.7145	5.1172	4.1289	5.0408	4.1336	5.1245	4.0121	3.8259	4.5594	4.4665	5.1237	4.6629	4.0434	4.9679	3.8939	4.0434	3.9797	6.0363	4.2324	5.6197	4.8099	4.8391	4.4264	5.251	3.5952	4.3284	3.918	4.5125	4.486	5.5634	4.4397	5.1551	4.7493	4.7082	5.0277	4.2105	3.9916	3.9042	4.5072	3.8885	3.9307	4.6102	3.5658	4.8512	5.9963	5.4052	4.99	4.2806	4.3457	4.1692	4.9793	4.8916	4.4668	4.369	5.3629	5.1334	4.8773	4.889	4.3247	4.7573	4.7622	4.1463	4.3975	4.38	4.215	3.7315	5.463	4.96	4.316	4.0231	4.0741	4.6114	4.8825
"RP4-613A2.1"	3.2284	3.3664	3.5158	2.5758	3.7365	3.2433	3.7306	2.8854	3.1886	3.5465	3.3505	3.6264	3.2284	4.4999	3.2741	3.6181	3.2419	3.4593	3.2012	3.3098	3.1813	2.8544	3.8221	3.2094	3.6094	3.7638	3.2853	2.5268	3.8366	3.0705	3.8221	3.0643	3.1685	3.5301	3.6358	2.987	3.7171	3.1581	3.5489	3.2881	3.3574	3.3574	3.1256	3.657	3.2428	3.2842	3.1708	2.9238	3.7371	3.3143	3.8339	3.429	3.3578	2.7697	3.4276	3.3506	3.2018	2.8826	3.6609	3.7508	3.683	3.2306	2.9584	2.7276	2.9238	3.2554	3.5585	3.6913	3.5088	3.125	3.4366	3.3205	3.6019	3.8836	3.3802	3.6765	3.2649	3.3672	3.7506	4.0365	3.4429	3.3802	3.3	2.7693	2.7404	3.3824	3.2309	3.2359	3.0081	3.9825	3.9568	2.6994	3.0338	3.355	3.535	3.1034	3.0218	3.4726	3.3012	3.1186	3.3455	2.7703	3.5281	3.2197	3.0671	3.3273	3.1293	2.88	3.6011	3.0264	3.477	3.0529	3.0383	3.3036	3.1837	3.2819	3.5612	2.2764	3.0833	3.4444	2.8688	3.4785	2.8451	3.3521
"RP4-621B10.8"	2.6028	3.1477	2.8715	2.1532	2.8817	2.8437	2.7893	2.8346	2.8346	3.1836	2.765	2.6429	2.0097	2.8715	2.8817	3.1397	2.8817	2.8484	2.2699	2.7976	1.8125	2.4086	2.7953	3.5855	3.2019	3.5876	3.6491	3.3132	2.4697	3.8265	3.3642	3.5772	2.8098	3.3146	2.8199	3.4948	2.6337	3.4314	3.2225	2.7846	2.9994	3.018	2.7321	2.8563	2.8332	3.0036	3.008	3.2533	3.0383	3.0085	3.1013	3.2941	3.6549	2.5969	3.2046	3.677	3.1282	3.5827	3.1153	3.3774	2.0609	3.5953	3.0432	3.0921	2.5559	2.8305	2.9293	2.8867	2.8806	2.4832	3.5294	3.6958	2.7229	3.7536	2.6133	3.285	3.3344	3.283	2.822	3.0699	2.1416	3.1595	3.4512	3.8903	3.0439	2.8818	2.9893	3.7773	3.4832	2.6615	2.8196	2.8325	3.1011	3.1818	2.4319	2.8921	3.613	3.2858	2.8771	2.8771	2.7705	2.8793	2.8271	2.7357	2.7842	3.0295	2.9172	2.8121	3.6203	3.0126	2.436	3.9065	3.0081	3.344	2.8566	2.7086	2.2911	3.5185	2.8378	2.2436	2.8109	2.6245	2.9063	3.6367
