"ID" "GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"AC013733.4"	3.1784	2.8074	2.9469	3.0911	2.9029	2.8849	3.0282	3.1235	2.9857	3.003	2.8647	2.95	2.7393	2.9567	2.8248	2.8407	3.004	2.7291	2.9691	2.8522	3.0341	2.9049	2.8815	2.9196	2.9799	2.9777	3.0302	3.0038	3.1144	3.0676
"AC016831.7"	3.6489	3.8055	3.8513	3.868	4.2047	4.2613	3.9712	3.2331	3.6428	3.6469	3.8295	3.9586	3.7145	3.8618	3.4703	3.9724	3.4752	3.673	3.7433	3.5596	4.0745	3.2548	3.6025	3.5029	3.8753	3.5783	3.4708	3.5879	3.6243	3.6571
"AC016999.2"	4.4933	4.1902	3.9478	3.9145	3.8326	3.9685	4.3581	4.1923	3.8397	3.9645	3.9805	3.9061	4.0401	3.9732	4.0194	4.3876	4.018	4.0449	4.2935	4.2566	4.552	3.8121	3.8163	4.1068	3.8263	4.4653	4.6718	4.4025	4.2566	5.9363
"AC017002.2"	6.3549	6.1946	5.3896	5.3945	6.4979	6.923	5.5486	5.2739	5.6724	5.22	5.4123	5.5026	6.0498	6.361	5.9019	5.6594	5.761	6.2307	5.9703	6.1247	5.2581	5.5115	6.1423	6.0804	6.1347	5.2799	5.1502	5.0436	5.6555	5.7231
"AC017104.6"	6.8653	6.9506	6.44	6.7155	6.3794	6.575	6.9508	6.9436	6.2255	6.4642	6.5541	6.5999	6.5797	6.5514	6.6194	6.7012	6.2276	6.9987	6.8428	6.7044	6.554	6.2791	6.557	6.7297	6.644	6.7252	7.032	6.7766	6.7136	7.3847
"AC018462.2///BC071802"	2.8264	2.635	2.6358	2.7905	2.5376	2.4745	2.4949	2.6011	2.5302	2.4243	2.597	2.7798	2.4996	2.5009	2.7694	2.4103	2.4502	2.7202	2.5238	2.7735	2.6818	2.5668	2.4733	2.5864	2.6562	2.4745	2.4834	2.7991	2.9319	2.6731
"AC018755.17"	3.1976	3.1758	3.0424	3.2715	3.3567	3.5307	3.1891	3.3117	3.2632	3.027	3.3826	3.2838	2.9261	3.0275	3.3673	3.0179	3.1289	3.0657	3.3423	3.1293	3.1758	3.0001	3.0745	2.8604	3.1758	3.2629	3.1846	3.5948	3.059	3.3105
"AC018766.6"	4.2663	4.0746	4.3229	4.1893	4.0063	4.099	4.0808	4.3278	4.3388	4.1971	3.7773	4.0219	4.1376	4.0193	4.1244	3.9367	4.0319	4.2133	3.832	4.1049	4.0491	3.5087	4.0947	3.9813	4.0944	4.0621	4.1315	4.578	3.832	4.1996
"AC018816.3"	5.7741	5.444	5.2669	5.5908	5.2647	5.359	5.4887	5.0455	5.0496	5.4297	5.8314	5.4248	5.294	5.2261	5.1384	5.0984	4.9968	5.3909	5.5452	5.4859	5.3131	4.9095	5.033	5.5784	5.1906	5.4261	5.2899	5.5364	5.4235	5.7568
"AC024560.2"	5.234	5.1011	5.0812	5.1518	5.0096	5.0927	5.3473	5.1033	4.8489	4.8664	5.1578	5.0311	5.1011	5.1011	5.1029	4.935	4.7989	5.4608	5.1974	5.2255	5.0985	4.8591	5.1515	4.9615	5.158	5.2523	5.2312	5.5111	5.0627	5.1979
