"ID" "GSM244467"	"GSM244468"	"GSM244469"	"GSM244470"	"GSM244471"	"GSM244472"	"GSM244473"	"GSM244474"	"GSM244475"	"GSM244476"	"GSM244477"	"GSM244478"	"GSM244479"	"GSM244480"	"GSM244481"	"GSM244482"	"GSM244483"	"GSM244484"	"GSM244485"	"GSM244486"	"GSM244487"	"GSM244488"	"GSM244489"	"GSM244490"	"GSM244491"	"GSM244492"	"GSM244493"	"GSM244494"	"GSM244495"	"GSM244496"	"GSM244497"	"GSM244498"	"GSM244499"	"GSM244500"	"GSM244501"	"GSM244502"	"GSM244503"	"GSM244504"	"GSM244505"	"GSM244506"	"GSM244507"	"GSM244508"	"GSM244509"	"GSM244510"	"GSM244511"
"AC007389.3"	1.3747	1.1989	0.732	0.7154	1.2269	1.1862	0.8549	0.8561	1.2185	0.9027	1.0292	0.9596	1.2526	0.8562	0.7075	0.7828	1.0528	0.5722	0.9141	0.5496	1.2004	1.0203	0.7041	0.548	1.0648	0.5114	0.9876	0.8668	1.5057	1.644	1.0203	0.871	1.9618	0.5877	1.9496	1.7988	0.7192	1.6149	0.8705	1.4948	1	0.8074	1.1489	1.1556	1.2145
"AC007557.2///BC031974"	0.9889	1.161	0.9735	0.8321	0.9428	0.8455	1.0155	0.9252	1.0025	0.8824	1.029	0.9551	1.1539	1.1416	0.8825	0.8908	0.9182	0.8778	0.8256	0.9001	1.3545	0.8719	0.8067	0.8391	1.1701	0.8904	1.2642	1.2228	1.4501	0.9342	1.0234	1.0036	1.3949	0.7817	0.8846	0.9893	1.076	1.2134	0.9622	1.0499	1.1529	0.9438	0.9892	1	0.9536
"AC007787.2"	1.2062	1.2838	1.3805	1.199	1.1745	1.0639	1.1971	1.0438	1.0722	1.35	1.4368	1.4522	1.1891	1.2539	1.3453	1.0749	1.2808	1.1961	1.4264	1.2335	1.4008	1.0531	1.0452	1.0198	0.9535	0.8069	0.9576	1.1465	1.5696	0.9185	1.0895	1	1.4511	1.1725	1.1341	1.6795	1.8275	1.0922	1.4414	1.2523	0.9311	0.9461	1.0338	0.8636	1.2067
"AC008088.4"	1.2937	0.9348	1.234	0.8782	1.3801	1.1603	0.983	1.1158	1.1095	1.09	1.6847	1.2371	1.3106	1.0916	1.1122	1.2877	1.1687	0.7974	1.1853	1.0278	1.0265	0.9104	0.8333	0.9806	0.7676	1.1611	1.2205	1.2666	1.3238	1.9868	0.9243	0.9618	1.7511	0.9729	1.2732	1.2062	1.1669	0.9202	0.9398	1.0648	1.1732	1	0.9743	1.0244	0.8766
"AC008746.12"	1.0801	0.8419	0.9243	0.8332	0.831	1.2097	1.0293	0.7966	1.0514	1.2349	0.9869	1.0975	1.2235	0.7253	0.94	1.1541	0.9871	1.0077	0.9859	0.7843	0.8777	1.0414	1.0343	1.302	1.0657	0.9261	1.081	0.969	0.7881	0.8905	0.7628	0.9625	0.7713	1.2294	1.0408	0.8079	0.9873	0.7358	1.1421	0.764	1.1392	0.7732	1.1063	1	0.7965
"AC008753.4"	0.922	0.8936	1.0476	0.636	1.5993	0.9122	0.7525	0.8554	0.942	0.678	1.1495	0.7806	1.0411	0.8887	0.7287	0.786	0.9541	0.8385	0.9428	0.8084	0.8197	1.7286	0.7981	0.7702	1.5562	0.9823	0.8878	0.9541	1.2389	1.6051	1.0565	1	0.6434	0.958	1.0038	1.0101	0.7117	1.0594	0.6507	0.9417	0.9566	1.1853	0.9514	1.1279	0.8997
"AC009120.6"	1.0536	1.0733	1.3828	1.5942	1.0674	1.3594	1.8294	1.5096	1.1011	1.342	1.2853	1.542	1.0523	1.1616	1.1233	1.2242	1.1238	1.8822	1.3587	1.3531	1.1231	1.0976	1.9431	1.3654	0.7975	1.2196	0.9367	0.9481	0.851	0.7946	0.8412	1	0.6482	1.8949	0.5508	0.9883	1.6654	0.6983	1.7677	0.832	1.4606	1.9001	0.9333	1.1063	0.9074
"AC009133.15"	1.066	0.9169	0.7052	0.5469	0.7442	0.8002	0.5502	0.8759	1.1269	0.8879	0.5815	0.7897	1.1238	0.7342	0.6274	0.9055	0.5019	0.5403	0.4184	0.5972	1.0365	1.3539	0.9329	0.6868	1.6519	1.0465	1.0332	0.9329	1.4264	1.5519	1.2224	0.7452	1.5101	0.8292	1.3696	1.2027	0.523	1.1924	0.802	0.8859	0.9452	0.6837	0.9632	1	0.8288
"AC009502.4"	1.3284	1.1353	0.7984	0.9039	1.1369	1.0537	1.0295	0.9587	1.4331	1.0192	1.84	1.3068	1.2113	0.8996	1.0916	0.947	1.4526	1.1295	1.1205	1.0879	1.0517	1.2326	0.816	0.9923	0.9248	0.8418	1.2394	0.9837	0.889	1.0173	0.9899	1.2055	1.4242	0.8941	1.3531	1.3563	1.247	1.148	0.9597	1.1215	1	1.097	1.1541	1.1126	1.2265
"AC010095.5///RP13-1039J1.3"	0.9572	0.856	0.8918	0.7893	0.8524	0.7707	0.8954	0.7739	0.8759	0.7859	0.802	0.9364	0.741	0.7714	0.8268	0.9618	0.9056	0.9252	0.9137	0.9481	0.8309	0.9272	1.0362	1.0704	1.0629	1.2418	0.8683	1	0.9046	1.1363	1.4484	0.9074	0.937	0.9694	0.8114	0.8447	0.9099	0.8381	0.9168	0.8125	1.0464	0.9906	0.8918	0.9353	0.7973
